iter	RMSE
0	0.4977187561
1	0.4936776159
2	0.4897779951
3	0.4859380215
4	0.4820391588
5	0.4781783952
6	0.4745722018
7	0.4707654263
8	0.4670834466
9	0.4634511134
10	0.459850405
11	0.4563128655
12	0.4527951104
13	0.4492914365
14	0.4457579246
15	0.4423370395
16	0.4389988251
17	0.4355927638
18	0.4322164453
19	0.4288569335
20	0.425623601
21	0.4223530627
22	0.4192933208
23	0.4161826556
24	0.4131784202
25	0.4101919654
26	0.407219096
27	0.4041171896
28	0.4010349061
29	0.3982459459
30	0.3952987389
31	0.3924423177
32	0.3894947258
33	0.3866618415
34	0.3839235711
35	0.3811293724
36	0.3784438821
37	0.3758588725
38	0.3731113355
39	0.3705059608
40	0.367863365
41	0.3652257866
42	0.3626187407
43	0.3600420303
44	0.3574865293
45	0.354982169
46	0.3525060704
47	0.3501044923
48	0.3476061936
49	0.3450822119
50	0.3427050647
51	0.3403452009
52	0.3380296853
53	0.3356784443
54	0.3334962121
55	0.3311990774
56	0.3289224644
57	0.3266095149
58	0.3243753593
59	0.3220983607
60	0.3199911007
61	0.3177698141
62	0.3156239786
63	0.3136176361
64	0.3114430784
65	0.309594442
66	0.3076457774
67	0.3057276419
68	0.3038257957
69	0.3018495176
70	0.2998010868
71	0.297855631
72	0.295916837
73	0.2939481083
74	0.2920466681
75	0.2902341016
76	0.2883509526
77	0.2864940617
78	0.2848375507
79	0.2831605195
80	0.2813144043
81	0.2795749531
82	0.277799737
83	0.2759913438
84	0.2742779056
85	0.2726437196
86	0.2709085114
87	0.2692547433
88	0.2675948767
89	0.2659679867
90	0.2643223156
91	0.2626360102
92	0.2611207172
93	0.2595666409
94	0.2579635298
95	0.2565623775
96	0.2551290876
97	0.2535649018
98	0.2520964506
99	0.2505830117
100	0.2490881699
101	0.2476828704
102	0.2462004798
103	0.2447022879
104	0.2432789757
105	0.2419393438
106	0.2404450038
107	0.239074845
108	0.2377755666
109	0.2364143229
110	0.2351206701
111	0.2337522136
112	0.2325416887
113	0.2311964001
114	0.2299147641
115	0.2287135167
116	0.2274089912
117	0.2260843086
118	0.2248685655
119	0.2236476332
120	0.2224595985
121	0.2211733624
122	0.2199993057
123	0.2187552962
124	0.2174776731
125	0.2163379793
126	0.2151757193
127	0.2139949975
128	0.2128374796
129	0.2116540259
130	0.210556325
131	0.2093731583
132	0.2082722779
133	0.2071914729
134	0.2060062913
135	0.2049861108
136	0.2039771397
137	0.2028567605
138	0.201753709
139	0.2007419515
140	0.1997842359
141	0.1987625054
142	0.1978012731
143	0.1968529751
144	0.1958440148
145	0.1947854162
146	0.1939260032
147	0.1930263552
148	0.1921178662
149	0.1911748789
150	0.1902945393
151	0.1892690892
152	0.188301616
153	0.187452269
154	0.1865242551
155	0.1856281444
156	0.1847057993
157	0.1837754184
158	0.1829319177
159	0.1820890404
160	0.1812124339
161	0.1804015395
162	0.1795492001
163	0.1787074916
164	0.1779563189
165	0.1771754465
166	0.1762896942
167	0.1755581922
168	0.1747506064
169	0.1739083114
170	0.1730809987
171	0.1722188303
172	0.1715510411
173	0.1708311444
174	0.1699791683
175	0.1693033741
176	0.1686077041
177	0.167798203
178	0.1669765833
179	0.1662425854
180	0.1655783621
181	0.1648634541
182	0.1641676691
183	0.1634316993
184	0.1627724078
185	0.1620750853
186	0.1613898727
187	0.1606914534
188	0.1600125335
189	0.159367171
190	0.1586641353
191	0.1580305348
192	0.1574086538
193	0.156706584
194	0.1560882632
195	0.1554479193
196	0.1548460733
197	0.1542182703
198	0.1534906121
199	0.1529019321
200	0.1522202582
201	0.1515269629
202	0.1509424442
203	0.1504052288
204	0.149828829
205	0.1493076943
206	0.1487432142
207	0.1481136381
208	0.147531911
209	0.1470058631
210	0.1464499871
211	0.1458423616
212	0.1452685806
213	0.1446978478
214	0.1441946315
215	0.1436458666
216	0.1430914744
217	0.1426067566
218	0.1421106582
219	0.1416290233
220	0.1411170892
221	0.1406524501
222	0.1402169377
223	0.1396508104
224	0.1391215982
225	0.1386697988
226	0.1382114022
227	0.1377252444
228	0.1372679589
229	0.1367314244
230	0.1362351867
231	0.1357008402
232	0.1352168833
233	0.1346891752
234	0.1342896585
235	0.1338377675
236	0.1334089366
237	0.1330088826
238	0.1325610478
239	0.1320996045
240	0.1316167882
241	0.1311784041
242	0.1308185401
243	0.1304286962
244	0.129982513
245	0.1295538806
246	0.1291118147
247	0.1286098637
248	0.1281601239
249	0.1278085802
250	0.1274049838
251	0.1270440562
252	0.1265991241
253	0.1262173118
254	0.1258302787
255	0.1254267594
256	0.1250313139
257	0.1246359877
258	0.1242388029
259	0.1238625627
260	0.1234897702
261	0.1231178266
262	0.1227513616
263	0.1223784647
264	0.1219861502
