iter	Passed	Remaining
0	9	4533
1	15	3902
2	21	3595
3	27	3383
4	32	3219
5	36	3033
6	40	2865
7	44	2710
8	47	2576
9	50	2467
10	53	2378
11	56	2308
12	60	2258
13	63	2218
14	67	2184
15	71	2169
16	81	2328
17	89	2391
18	93	2379
19	98	2364
20	102	2345
21	107	2329
22	111	2316
23	117	2329
24	124	2356
25	131	2400
26	136	2396
27	141	2382
28	145	2368
29	150	2353
30	154	2340
31	159	2338
32	166	2353
33	171	2344
34	175	2338
35	180	2328
36	185	2317
37	189	2308
38	194	2303
39	200	2304
40	204	2294
41	209	2283
42	214	2274
43	218	2263
44	223	2255
45	227	2245
46	232	2239
47	238	2247
48	243	2243
49	248	2234
50	252	2225
51	257	2216
52	261	2207
53	266	2202
54	272	2206
55	277	2200
56	282	2194
57	286	2185
58	291	2182
59	297	2179
60	302	2173
61	306	2164
62	311	2158
63	315	2151
64	320	2144
65	325	2139
66	330	2135
67	334	2127
68	339	2119
69	344	2114
70	349	2108
71	353	2101
72	358	2096
73	362	2088
74	366	2079
75	371	2072
76	376	2066
77	380	2060
78	386	2057
79	390	2051
80	395	2046
81	400	2039
82	405	2035
83	409	2028
84	414	2021
85	418	2016
86	423	2009
87	427	2003
88	433	2000
89	438	1996
90	442	1988
91	446	1982
92	451	1976
93	456	1971
94	461	1967
95	466	1961
96	470	1956
97	475	1952
98	480	1947
99	485	1942
100	490	1937
101	494	1930
102	499	1925
103	504	1919
104	508	1913
105	514	1910
106	518	1905
107	523	1899
108	527	1893
109	532	1888
110	537	1882
111	542	1877
112	546	1872
113	552	1869
114	557	1866
115	562	1863
116	567	1858
117	572	1852
118	577	1847
119	581	1842
120	586	1836
121	591	1831
122	595	1826
123	600	1820
124	604	1814
125	609	1808
126	613	1801
127	617	1794
128	621	1787
129	625	1780
130	629	1773
131	633	1766
132	638	1760
133	642	1754
134	646	1746
135	650	1740
136	654	1734
137	659	1729
138	663	1724
139	668	1719
140	673	1715
141	678	1710
142	682	1704
143	686	1697
144	691	1692
145	695	1685
146	699	1678
147	703	1672
148	707	1667
149	713	1663
150	717	1657
151	721	1651
152	725	1645
153	729	1639
154	733	1632
155	737	1626
156	741	1621
157	746	1615
158	752	1612
159	756	1607
160	760	1601
161	764	1594
162	767	1587
163	772	1581
164	776	1575
165	779	1569
166	785	1566
167	790	1562
168	794	1556
169	798	1549
170	802	1543
171	806	1538
172	810	1531
173	813	1525
174	817	1518
175	822	1513
176	826	1507
177	830	1501
178	833	1495
179	838	1489
180	842	1483
181	845	1478
182	849	1472
183	854	1467
184	857	1460
185	861	1454
186	865	1448
187	869	1443
188	874	1438
189	878	1432
190	882	1427
191	886	1421
192	890	1416
193	894	1410
194	898	1405
195	903	1401
196	908	1397
197	913	1392
198	917	1388
199	922	1383
200	927	1379
201	932	1375
202	936	1370
203	940	1365
204	944	1359
205	948	1354
206	953	1348
207	956	1343
208	960	1337
209	964	1332
210	968	1326
211	972	1321
212	977	1317
213	982	1312
214	986	1307
215	991	1303
216	996	1299
217	1000	1294
218	1004	1288
219	1008	1283
220	1012	1277
221	1015	1272
222	1019	1266
223	1023	1261
224	1027	1256
225	1031	1250
226	1035	1245
227	1039	1239
228	1042	1234
229	1046	1228
230	1050	1223
231	1054	1218
232	1058	1213
233	1062	1207
234	1066	1202
235	1070	1197
236	1073	1191
237	1077	1186
238	1081	1181
239	1086	1176
240	1090	1171
241	1094	1166
242	1098	1161
243	1101	1156
244	1105	1150
245	1109	1145
246	1113	1140
247	1116	1134
248	1120	1129
249	1124	1124
250	1127	1118
251	1131	1113
252	1134	1108
253	1138	1102
254	1142	1097
255	1146	1092
256	1149	1087
257	1153	1081
258	1157	1076
259	1160	1071
260	1164	1066
261	1168	1061
262	1172	1056
263	1175	1051
264	1179	1046
265	1183	1040
266	1186	1035
267	1190	1030
268	1194	1025
269	1197	1020
270	1201	1015
271	1205	1010
272	1208	1005
273	1212	1000
274	1216	995
275	1220	990
276	1224	985
277	1227	980
278	1231	975
279	1235	970
280	1238	965
281	1243	961
282	1247	956
283	1251	951
284	1254	946
285	1258	941
286	1262	936
287	1266	931
288	1269	927
289	1273	922
290	1277	917
291	1280	912
292	1284	907
293	1288	902
294	1291	897
295	1295	892
296	1299	888
297	1303	883
298	1306	878
299	1310	873
300	1315	869
301	1318	864
302	1322	859
303	1326	855
304	1331	850
305	1334	846
306	1338	841
307	1342	836
308	1347	832
309	1350	827
310	1354	823
311	1358	818
312	1362	813
313	1366	809
314	1370	804
315	1373	799
316	1378	795
317	1381	790
318	1385	786
319	1389	781
320	1393	777
321	1397	772
322	1401	768
323	1405	763
324	1409	758
325	1413	754
326	1417	749
327	1420	745
328	1425	740
329	1429	736
330	1432	731
331	1436	727
332	1440	722
333	1444	717
334	1448	713
335	1452	708
336	1456	704
337	1460	700
338	1465	695
339	1469	691
340	1474	687
341	1478	682
342	1482	678
343	1486	673
344	1490	669
345	1494	665
346	1498	660
347	1502	656
348	1506	651
349	1510	647
350	1514	642
351	1518	638
352	1522	633
353	1526	629
354	1530	625
355	1534	620
356	1538	616
357	1541	611
358	1545	607
359	1549	602
360	1553	597
361	1556	593
362	1560	588
363	1564	584
364	1567	579
365	1571	575
366	1575	570
367	1578	566
368	1582	561
369	1586	557
370	1589	552
371	1593	548
372	1597	543
373	1601	539
374	1604	534
375	1608	530
376	1612	525
377	1615	521
378	1619	517
379	1623	512
380	1627	508
381	1632	504
382	1636	499
383	1640	495
384	1644	491
385	1649	487
386	1654	482
387	1659	478
388	1664	474
389	1669	470
390	1674	466
391	1678	462
392	1683	458
393	1687	454
394	1692	449
395	1696	445
396	1701	441
397	1706	437
398	1710	433
399	1715	428
400	1720	424
401	1724	420
402	1732	417
403	1738	413
404	1746	409
405	1750	405
406	1755	401
407	1760	396
408	1766	392
409	1772	389
410	1778	385
411	1783	380
412	1787	376
413	1792	372
414	1797	368
415	1801	363
416	1805	359
417	1810	355
418	1814	350
419	1819	346
420	1824	342
421	1828	338
422	1833	333
423	1837	329
424	1842	325
425	1847	320
426	1851	316
427	1855	312
428	1859	307
429	1863	303
430	1866	298
431	1871	294
432	1875	290
433	1880	285
434	1885	281
435	1889	277
436	1894	273
437	1898	268
438	1903	264
439	1907	260
440	1911	255
441	1915	251
442	1919	246
443	1923	242
444	1927	238
445	1931	233
446	1935	229
447	1939	225
448	1943	220
449	1947	216
450	1951	211
451	1954	207
452	1958	203
453	1962	198
454	1966	194
455	1970	190
456	1973	185
457	1977	181
458	1981	176
459	1985	172
460	1989	168
461	1993	163
462	1996	159
463	2000	155
464	2004	150
465	2007	146
466	2011	142
467	2015	137
468	2019	133
469	2023	129
470	2027	124
471	2030	120
472	2034	116
473	2038	111
474	2042	107
475	2046	103
476	2049	98
477	2053	94
478	2057	90
479	2062	85
480	2065	81
481	2069	77
482	2073	72
483	2077	68
484	2081	64
485	2084	60
486	2088	55
487	2092	51
488	2096	47
489	2099	42
490	2103	38
491	2107	34
492	2110	29
493	2114	25
494	2118	21
495	2122	17
496	2126	12
497	2129	8
498	2133	4
499	2137	0
